phrase,frequency,inDict
ubi solitudinem faciunt pacem appellant,1.4764634898579034e-08,0
aut vincere aut mori,1.4764634898579034e-08,1
ad captandum vulgus,1.4764634898579034e-08,1
capax imperii nisi imperasset,1.4764634898579034e-08,0
sustine et abstine,1.4764634898579034e-08,0
abyssus abyssum invocat,1.4764634898579034e-08,0
ultima forsan,1.4764634898579034e-08,0
votum separatum,1.4764634898579034e-08,0
renovatio urbis,1.4764634898579034e-08,0
inter arma enim silent leges,1.4764634898579034e-08,0
lapsus memoriae,1.4764634898579034e-08,0
de omni re scibili,1.4764634898579034e-08,0
reductio ad infinitum,1.4764634898579034e-08,0
simplex sigillum veri,1.4764634898579034e-08,0
in puris naturalibus,1.4764634898579034e-08,0
aliquid stat pro aliquo,1.4764634898579034e-08,0
per aes et libram,1.4764634898579034e-08,1
volenti non fit iniuria,1.4764634898579034e-08,0
quod scripsi scripsi,1.4764634898579034e-08,0
vivat rex,1.4764634898579034e-08,0
talis qualis,1.4764634898579034e-08,0
de minimis non curat praetor,1.4764634898579034e-08,0
gutta cavat lapidem,1.2655401341639172e-08,0
divinum officium,1.2655401341639172e-08,0
videre licet,1.2655401341639172e-08,0
jus abutendi,1.2655401341639172e-08,1
naturalis historia,1.2655401341639172e-08,0
fugit hora,1.2655401341639172e-08,0
ab irato,1.2655401341639172e-08,0
ultimo mense,1.2655401341639172e-08,0
a posse ad esse,1.2655401341639172e-08,0
nec temere nec timide,1.2655401341639172e-08,0
sine anno,1.2655401341639172e-08,0
flagellum dei,1.2655401341639172e-08,0
sub finem,1.2655401341639172e-08,0
experientia docet,1.2655401341639172e-08,0
in hunc effectum,1.2655401341639172e-08,0
verbi gratia,1.2655401341639172e-08,0
aqua destillata,1.2655401341639172e-08,1
audaces fortuna iuvat,1.2655401341639172e-08,0
semper ardens,1.2655401341639172e-08,0
vincit qui patitur,1.2655401341639172e-08,0
tuitio fidei et obsequium pauperum,1.2655401341639172e-08,0
caput inter nubila,1.2655401341639172e-08,0
pro nunc,1.2655401341639172e-08,0
vincit omnia veritas,1.2655401341639172e-08,1
draco dormiens nunquam titillandus,1.2655401341639172e-08,0
spectemur agendo,1.2655401341639172e-08,0
a minore ad maius,1.2655401341639172e-08,0
ad victoriam,1.2655401341639172e-08,0
dies ater,1.2655401341639172e-08,0
tempus edax rerum,1.2655401341639172e-08,1
non scholae sed vitae discimus,1.2655401341639172e-08,0
cuique suum,1.2655401341639172e-08,1
pro opportunitate,1.2655401341639172e-08,0
de dolo,1.2655401341639172e-08,1
beatae memoriae,1.2655401341639172e-08,0
de bello gallico,1.2655401341639172e-08,0
et facta est lux,1.2655401341639172e-08,0
repetita iuvant,1.2655401341639172e-08,0
jus fruendi,1.2655401341639172e-08,1
nihil novi sub sole,1.054616778469931e-08,0
pater historiae,1.054616778469931e-08,0
annus terribilis,1.054616778469931e-08,0
lupus in fabula,1.054616778469931e-08,0
obtorto collo,1.054616778469931e-08,0
redde rationem,1.054616778469931e-08,0
fervet opus,1.054616778469931e-08,0
canis canem edit,1.054616778469931e-08,0
ad vitam aut culpam,1.054616778469931e-08,1
mox nox,1.054616778469931e-08,0
lux libertas,1.054616778469931e-08,0
gens una sumus,1.054616778469931e-08,0
in totidem verbis,1.054616778469931e-08,0
absit invidia,1.054616778469931e-08,1
veritas vos liberabit,1.054616778469931e-08,1
splendor sine occasu,1.054616778469931e-08,0
aegri somnia,1.054616778469931e-08,1
utraque unum,1.054616778469931e-08,0
vade retro satana,1.054616778469931e-08,0
nec pluribus impar,1.054616778469931e-08,0
vires in numeris,1.054616778469931e-08,0
in pace requiescat,1.054616778469931e-08,0
corruptus in extremis,1.054616778469931e-08,0
rem acu tetigisti,1.054616778469931e-08,1
hora somni,1.054616778469931e-08,0
non omnis moriar,1.054616778469931e-08,1
quid est veritas,1.054616778469931e-08,0
doli capax,1.054616778469931e-08,1
fac et spera,1.054616778469931e-08,0
nuda veritas,1.054616778469931e-08,0
per pares,1.054616778469931e-08,1
alieni juris,1.054616778469931e-08,1
index librorum prohibitorum,1.054616778469931e-08,1
ars celare artem,1.054616778469931e-08,0
pace tua,1.054616778469931e-08,0
calix meus inebrians,1.054616778469931e-08,0
jus relictae,1.054616778469931e-08,1
latet anguis in herba,1.054616778469931e-08,0
ductus exemplo,1.054616778469931e-08,0
te deum laudamus,1.054616778469931e-08,1
vita patris,1.054616778469931e-08,0
jure matris,1.054616778469931e-08,0
quinque voces,1.054616778469931e-08,1
hoc erat in votis,1.054616778469931e-08,0
gens togata,1.054616778469931e-08,0
aut disce aut discede,1.054616778469931e-08,0
pia desideria,8.436934227759447e-09,0
ita vero,8.436934227759447e-09,0
quocunque jeceris stabit,8.436934227759447e-09,0
locus desperatus,8.436934227759447e-09,0
semper apertus,8.436934227759447e-09,0
ecce signum,8.436934227759447e-09,1
opera operata,8.436934227759447e-09,1
amicus certus in re incerta,8.436934227759447e-09,0
vires acquirit eundo,8.436934227759447e-09,0
durante vita,8.436934227759447e-09,1
dulcius ex asperis,8.436934227759447e-09,0
rituale romanum,8.436934227759447e-09,0
amat victoria curam,8.436934227759447e-09,0
stante pede,8.436934227759447e-09,0
vive ut vivas,8.436934227759447e-09,0
viriliter agite,8.436934227759447e-09,0
vivat crescat floreat,8.436934227759447e-09,0
acta est fabula,8.436934227759447e-09,1
dei gratia rex,8.436934227759447e-09,0
hinc illae lacrimae,8.436934227759447e-09,1
veritate et caritate,8.436934227759447e-09,0
corpus juris canonici,8.436934227759447e-09,0
veritas liberabit vos,8.436934227759447e-09,0
jure humano,8.436934227759447e-09,0
facio ut des,8.436934227759447e-09,1
viriliter age,8.436934227759447e-09,0
canes pugnaces,8.436934227759447e-09,0
arare litus,8.436934227759447e-09,0
hic habitat felicitas,8.436934227759447e-09,0
humilitas occidit superbiam,8.436934227759447e-09,0
esto quod es,8.436934227759447e-09,0
dulce bellum inexpertis,8.436934227759447e-09,0
per mare per terram,8.436934227759447e-09,0
reformatio in pejus,8.436934227759447e-09,0
de fideli,8.436934227759447e-09,0
more majorum,8.436934227759447e-09,0
absente reo,8.436934227759447e-09,1
sit tibi terra levis,8.436934227759447e-09,0
tria juncta in uno,8.436934227759447e-09,1
beati pauperes spiritu,8.436934227759447e-09,0
ex supra,8.436934227759447e-09,0
sidereus nuncius,8.436934227759447e-09,0
vitam impendere vero,8.436934227759447e-09,0
contraria contrariis curantur,8.436934227759447e-09,0
felix qui potuit rerum cognoscere causas,8.436934227759447e-09,0
audere est facere,8.436934227759447e-09,0
pictor ignotus,8.436934227759447e-09,0
ab uno disce omnes,8.436934227759447e-09,1
exceptis excipiendis,8.436934227759447e-09,1
longo intervallo,8.436934227759447e-09,0
abundans cautela non nocet,8.436934227759447e-09,0
dulce est desipere in loco,8.436934227759447e-09,1
regressus ad uterum,8.436934227759447e-09,0
nuper rosarum flores,8.436934227759447e-09,0
navigare necesse est,8.436934227759447e-09,0
semper fortis,8.436934227759447e-09,0
jus proprietatis,8.436934227759447e-09,1
palmam qui meruit ferat,8.436934227759447e-09,0
sub tuum praesidium,8.436934227759447e-09,0
amare et sapere vix deo conceditur,6.327700670819586e-09,0
bella gerant alii,6.327700670819586e-09,0
spiritus ubi vult spirat,6.327700670819586e-09,0
scientia vincere tenebras,6.327700670819586e-09,0
qui bene cantat bis orat,6.327700670819586e-09,0
ex curia,6.327700670819586e-09,0
deo optimo maximo,6.327700670819586e-09,0
verbatim et litteratim,6.327700670819586e-09,1
exegi monumentum aere perennius,6.327700670819586e-09,0
ab incunabulis,6.327700670819586e-09,1
quae vide,6.327700670819586e-09,0
hora fugit,6.327700670819586e-09,0
auribus teneo lupum,6.327700670819586e-09,0
vita ante acta,6.327700670819586e-09,0
a verbis ad verbera,6.327700670819586e-09,0
carpe vinum,6.327700670819586e-09,0
ad calendas graecas,6.327700670819586e-09,0
ad pedem litterae,6.327700670819586e-09,0
tusculanae disputationes,6.327700670819586e-09,0
sum quod eris,6.327700670819586e-09,0
corvus oculum corvi non eruit,6.327700670819586e-09,0
semper invicta,6.327700670819586e-09,0
in pari causa,6.327700670819586e-09,1
bellum se ipsum alet,6.327700670819586e-09,0
aut pax aut bellum,6.327700670819586e-09,0
in varietate concordia,6.327700670819586e-09,0
dictum sapienti sat,6.327700670819586e-09,0
cui in vita,6.327700670819586e-09,1
ut cognoscant te,6.327700670819586e-09,0
hic et ubique,6.327700670819586e-09,1
fama volat,6.327700670819586e-09,0
in spiritu et veritate,6.327700670819586e-09,0
integer vitae scelerisque purus,6.327700670819586e-09,1
amicus humani generis,6.327700670819586e-09,1
uno flatu,6.327700670819586e-09,0
necessitas non habet legem,6.327700670819586e-09,0
margaritas ante porcos,6.327700670819586e-09,0
sub umbra floreo,6.327700670819586e-09,0
vivere est cogitare,6.327700670819586e-09,0
nihil ex nihilo,6.327700670819586e-09,0
diem perdidi,6.327700670819586e-09,0
a maiore ad minus,6.327700670819586e-09,0
a caelo usque ad centrum,6.327700670819586e-09,0
virtus unita fortior,6.327700670819586e-09,0
ius est ars boni et aequi,6.327700670819586e-09,0
amor platonicus,6.327700670819586e-09,0
ab hinc,6.327700670819586e-09,0
sic parvis magna,6.327700670819586e-09,0
gaudeamus hodie,6.327700670819586e-09,0
velut arbor aevo,6.327700670819586e-09,0
mens sibi conscia recti,6.327700670819586e-09,0
amor dei intellectualis,6.327700670819586e-09,0
per ardua ad alta,6.327700670819586e-09,0
jus in personam,6.327700670819586e-09,1
vero nihil verius,6.327700670819586e-09,0
remedia amoris,6.327700670819586e-09,0
vox sanguinis,6.327700670819586e-09,0
post nubila phoebus,6.327700670819586e-09,0
jus ecclesiasticum,6.327700670819586e-09,1
e causa ignota,6.327700670819586e-09,0
vive memor leti,6.327700670819586e-09,0
quod erat faciendum,6.327700670819586e-09,1
semper ad meliora,6.327700670819586e-09,0
sic vos non vobis,6.327700670819586e-09,0
ex astris scientia,6.327700670819586e-09,0
e vestigio,6.327700670819586e-09,0
scientia et sapientia,6.327700670819586e-09,0
sumptibus auctoris,6.327700670819586e-09,0
senatus populusque romanus,6.327700670819586e-09,0
suo loco,6.327700670819586e-09,1
animula vagula blandula,4.2184671138797235e-09,0
cura ut valeas,4.2184671138797235e-09,0
incredibile dictu,4.2184671138797235e-09,0
ecce ancilla domini,4.2184671138797235e-09,0
tu stultus es,4.2184671138797235e-09,0
damnant quod non intelligunt,4.2184671138797235e-09,1
fas est et ab hoste doceri,4.2184671138797235e-09,1
omne ignotum pro magnifico,4.2184671138797235e-09,1
post coitem,4.2184671138797235e-09,0
audaces fortuna juvat,4.2184671138797235e-09,0
favete linguis,4.2184671138797235e-09,0
descensus in cuniculi cavum,4.2184671138797235e-09,0
spero meliora,4.2184671138797235e-09,0
victoria concordia crescit,4.2184671138797235e-09,0
cetera desunt,4.2184671138797235e-09,1
amicus certus in re incerta cernitur,4.2184671138797235e-09,0
arma christi,4.2184671138797235e-09,0
primum vivere deinde philosophari,4.2184671138797235e-09,0
regina caeli,4.2184671138797235e-09,0
vestigia nulla retrorsum,4.2184671138797235e-09,0
qui transtulit sustinet,4.2184671138797235e-09,1
spes bona,4.2184671138797235e-09,0
quis ut deus,4.2184671138797235e-09,0
non sibi sed patriae,4.2184671138797235e-09,0
varium et mutabile semper femina,4.2184671138797235e-09,1
praedia urbana,4.2184671138797235e-09,1
sapientia et eloquentia,4.2184671138797235e-09,0
similis simili gaudet,4.2184671138797235e-09,1
deo vindice,4.2184671138797235e-09,0
dulce periculum,4.2184671138797235e-09,0
alieni iuris,4.2184671138797235e-09,0
virtute et armis,4.2184671138797235e-09,1
hac lege,4.2184671138797235e-09,0
cygnus inter anates,4.2184671138797235e-09,0
specialia generalibus derogant,4.2184671138797235e-09,0
exitus acta probat,4.2184671138797235e-09,1
fortius quo fidelius,4.2184671138797235e-09,0
dis aliter visum,4.2184671138797235e-09,1
jus relicti,4.2184671138797235e-09,1
ex scientia tridens,4.2184671138797235e-09,0
rari nantes in gurgite vasto,4.2184671138797235e-09,0
non sum qualis eram,4.2184671138797235e-09,1
concordia salus,4.2184671138797235e-09,0
veritas odit moras,4.2184671138797235e-09,0
sum quod sum,4.2184671138797235e-09,0
ego te provoco,4.2184671138797235e-09,0
virtus non stemma,4.2184671138797235e-09,0
semper instans,4.2184671138797235e-09,0
morbus sacer,4.2184671138797235e-09,0
verba docent exempla trahunt,4.2184671138797235e-09,0
opera citata,4.2184671138797235e-09,1
delegata potestas non potest delegari,4.2184671138797235e-09,0
nunc aut nunquam,4.2184671138797235e-09,0
sit nomen domini benedictum,4.2184671138797235e-09,0
treuga dei,4.2184671138797235e-09,0
clerico admittendo,4.2184671138797235e-09,0
ne nimium,4.2184671138797235e-09,0
sol lucet omnibus,4.2184671138797235e-09,0
fortiter et fideliter,4.2184671138797235e-09,0
aquila non capit muscas,4.2184671138797235e-09,0
cum grano salis,4.2184671138797235e-09,1
regnat populus,4.2184671138797235e-09,1
mihi cura futuri,4.2184671138797235e-09,0
siste viator,4.2184671138797235e-09,1
timeo danaos et dona ferentes,4.2184671138797235e-09,1
sidere mens eadem mutato,4.2184671138797235e-09,0
me fallit,4.2184671138797235e-09,0
res firma mitescere nescit,4.2184671138797235e-09,0
equo ne credite,4.2184671138797235e-09,0
in utrumque paratus,4.2184671138797235e-09,1
qua patet orbis,4.2184671138797235e-09,0
similia similibus solvuntur,4.2184671138797235e-09,0
ut dict,4.2184671138797235e-09,1
dies juridicus,4.2184671138797235e-09,1
verbi divini minister,4.2184671138797235e-09,0
sapientia et doctrina,4.2184671138797235e-09,0
sancta sedes,4.2184671138797235e-09,0
in necessariis unitas,4.2184671138797235e-09,0
celerius quam asparagi cocuntur,4.2184671138797235e-09,0
viribus unitis,4.2184671138797235e-09,0
lectori salutem,4.2184671138797235e-09,0
scio me nihil scire,4.2184671138797235e-09,0
quaecumque sunt vera,4.2184671138797235e-09,0
veritas lux mea,4.2184671138797235e-09,0
non nobis solum nati sumus,4.2184671138797235e-09,0
qui audet adipiscitur,4.2184671138797235e-09,0
ignorantia juris neminem excusat,4.2184671138797235e-09,1
strictum jus,4.2184671138797235e-09,1
in lumine tuo videbimus lumen,4.2184671138797235e-09,0
nescit vox missa reverti,4.2184671138797235e-09,0
ex malo bonum,4.2184671138797235e-09,0
ama et fac quod vis,4.2184671138797235e-09,0
ex luna scientia,4.2184671138797235e-09,0
virtus tentamine gaudet,4.2184671138797235e-09,0
durante absentia,4.2184671138797235e-09,1
pulvis et umbra sumus,4.2184671138797235e-09,0
quod me nutrit me destruit,4.2184671138797235e-09,0
ad kalendas graecas,4.2184671138797235e-09,1
jubilate deo,4.2184671138797235e-09,0
in ictu oculi,4.2184671138797235e-09,0
omnia mea mecum porto,4.2184671138797235e-09,0
numquam non paratus,4.2184671138797235e-09,0
eruditio et religio,4.2184671138797235e-09,0
fortes fortuna juvat,4.2184671138797235e-09,1
dimidium facti qui coepit habet,4.2184671138797235e-09,0
jus soil,4.2184671138797235e-09,0
homo legalis,4.2184671138797235e-09,1
durante minore aetate,4.2184671138797235e-09,1
succisa virescit,4.2184671138797235e-09,0
quo fata ferunt,2.1092335569398614e-09,0
mare tranquillitatis,2.1092335569398614e-09,0
usus est magister optimus,2.1092335569398614e-09,0
ira furor brevis est,2.1092335569398614e-09,1
amor omnibus idem,2.1092335569398614e-09,0
ex factis jus oritur,2.1092335569398614e-09,0
jus angariae,2.1092335569398614e-09,1
decessit sine prole legitima,2.1092335569398614e-09,0
ignorantia iuris nocet,2.1092335569398614e-09,0
id quod plerumque accidit,2.1092335569398614e-09,0
ante christum natum,2.1092335569398614e-09,0
spem gregis,2.1092335569398614e-09,0
ex solo ad solem,2.1092335569398614e-09,0
aequam memento rebus in arduis servare mentem,2.1092335569398614e-09,0
qui docet in doctrina,2.1092335569398614e-09,0
ex fide fortis,2.1092335569398614e-09,0
errantis voluntas nulla est,2.1092335569398614e-09,0
fons vitae caritas,2.1092335569398614e-09,0
nihil debet,2.1092335569398614e-09,1
victoria aut mors,2.1092335569398614e-09,0
arte et marte,2.1092335569398614e-09,0
aeternum vale,2.1092335569398614e-09,0
audio hostem,2.1092335569398614e-09,0
maxima debetur puero reverentia,2.1092335569398614e-09,0
arduus ad solem,2.1092335569398614e-09,0
veritas aequitas,2.1092335569398614e-09,0
arduum sane munus,2.1092335569398614e-09,0
justitia omnibus,2.1092335569398614e-09,1
communi consilio,2.1092335569398614e-09,0
jus edicendi,2.1092335569398614e-09,1
gaudium in veritate,2.1092335569398614e-09,0
munit haec et altera vincit,2.1092335569398614e-09,0
dictum factum,2.1092335569398614e-09,0
hinc et inde,2.1092335569398614e-09,0
potius mori quam foedari,2.1092335569398614e-09,0
ex unitate vires,2.1092335569398614e-09,0
bono malum superate,2.1092335569398614e-09,0
cum laude,2.1092335569398614e-09,1
concilio et labore,2.1092335569398614e-09,0
privilegium minus,2.1092335569398614e-09,0
apage satanas,2.1092335569398614e-09,0
nil sine numine,2.1092335569398614e-09,1
clavis aurea,2.1092335569398614e-09,0
privilegium maius,2.1092335569398614e-09,0
quod est necessarium est licitum,2.1092335569398614e-09,0
in magnis et voluisse sat est,2.1092335569398614e-09,0
semper progrediens,2.1092335569398614e-09,0
alis aquilae,2.1092335569398614e-09,0
jus personarum,2.1092335569398614e-09,1
semper vigilo,2.1092335569398614e-09,0
sit sine labe decus,2.1092335569398614e-09,0
horas non numero nisi serenas,2.1092335569398614e-09,0
tres faciunt collegium,2.1092335569398614e-09,0
bonus vir semper tiro,2.1092335569398614e-09,0
abeunt studia in mores,2.1092335569398614e-09,1
quaque nocte,2.1092335569398614e-09,0
vetus latina,2.1092335569398614e-09,0
pactum serva,2.1092335569398614e-09,0
sapientia et virtus,2.1092335569398614e-09,0
quaque mane,2.1092335569398614e-09,0
venturis ventis,2.1092335569398614e-09,0
familia supra omnia,2.1092335569398614e-09,0
ad terminum qui praeteriit,2.1092335569398614e-09,0
sine scientia ars nihil est,2.1092335569398614e-09,0
jus commercii,2.1092335569398614e-09,1
lux in domino,2.1092335569398614e-09,0
pretium iustum est,2.1092335569398614e-09,0
fabricati diem,2.1092335569398614e-09,0
fiat justitia et pereat mundus,2.1092335569398614e-09,0
quantum libet,2.1092335569398614e-09,0
ecce panis angelorum,2.1092335569398614e-09,0
qualis artifex pereo,2.1092335569398614e-09,0
magna cum laude,2.1092335569398614e-09,1
virtus laudata crescit,2.1092335569398614e-09,0
nutrimentum spiritus,2.1092335569398614e-09,0
amantes amentes,2.1092335569398614e-09,0
singuli in solidum,2.1092335569398614e-09,1
veritas et virtus,2.1092335569398614e-09,0
acta deos numquam mortalia fallunt,2.1092335569398614e-09,0
nihil fit sine causa,2.1092335569398614e-09,0
hoc est bellum,2.1092335569398614e-09,0
orbes volantes exstare,2.1092335569398614e-09,0
deus caritas est,2.1092335569398614e-09,0
ex duris gloria,2.1092335569398614e-09,0
semper primus,2.1092335569398614e-09,0
semper sursum,2.1092335569398614e-09,0
scientia ipsa potentia est,2.1092335569398614e-09,0
post christum natum,2.1092335569398614e-09,0
invictus maneo,2.1092335569398614e-09,0
sapiens qui prospicit,2.1092335569398614e-09,0
de verborum significatione,2.1092335569398614e-09,0
honores mutant mores,2.1092335569398614e-09,0
abnormis sapiens,2.1092335569398614e-09,0
extremis malis extrema remedia,2.1092335569398614e-09,0
amicus usque ad aras,2.1092335569398614e-09,1
manus manum lavat,2.1092335569398614e-09,0
ducit amor patriae,2.1092335569398614e-09,0
floreat pica,2.1092335569398614e-09,0
statio bene fide carinis,2.1092335569398614e-09,0
haud ignota loquor,2.1092335569398614e-09,0
flamma fumo est proxima,2.1092335569398614e-09,0
ante prandium,2.1092335569398614e-09,0
opera quadrata,2.1092335569398614e-09,1
ab invito,2.1092335569398614e-09,0
lector benevole,2.1092335569398614e-09,0
decies repetita placebit,2.1092335569398614e-09,0
extra domum,2.1092335569398614e-09,0
signum fidei,2.1092335569398614e-09,0
de te fabula narrator,2.1092335569398614e-09,0
deus nobiscum,2.1092335569398614e-09,0
crescat scientia vita excolatur,2.1092335569398614e-09,0
lux sit,2.1092335569398614e-09,0
fides punica,2.1092335569398614e-09,0
a pedibus usque ad caput,2.1092335569398614e-09,0
ex infra,2.1092335569398614e-09,0
vince in bono malum,2.1092335569398614e-09,0
bellum romanum,2.1092335569398614e-09,0
bonum commune communitatis,2.1092335569398614e-09,0
a falsis principiis proficisci,2.1092335569398614e-09,0
servus servorum dei,2.1092335569398614e-09,0
devisat vel non,2.1092335569398614e-09,1
verbum domini manet in aeternum,2.1092335569398614e-09,0
ad libitur,2.1092335569398614e-09,0
gaudia certaminis,2.1092335569398614e-09,0
auspicium melioris aevi,2.1092335569398614e-09,1
absolutum dominium,2.1092335569398614e-09,0
hortus in urbe,2.1092335569398614e-09,0
de fideli administratione,2.1092335569398614e-09,0
a cruce salus,2.1092335569398614e-09,0
die dulci freure,2.1092335569398614e-09,0
vivere militare est,2.1092335569398614e-09,0
animus in consulendo liber,2.1092335569398614e-09,0
aqua fontana,2.1092335569398614e-09,0
tendit in ardua virtus,2.1092335569398614e-09,0
aurum potestas est,2.1092335569398614e-09,0
homo sui juris,2.1092335569398614e-09,1
neutiquam erro,2.1092335569398614e-09,0
ante christum,2.1092335569398614e-09,0
video meliora proboque deteriora sequor,2.1092335569398614e-09,0
ex umbra in solem,2.1092335569398614e-09,0
contra spem spero,2.1092335569398614e-09,0
qua definitione,2.1092335569398614e-09,0
veritas christo et ecclesiae,2.1092335569398614e-09,0
quomodo vales,2.1092335569398614e-09,0
fidus achates,2.1092335569398614e-09,1
virtute et industria,2.1092335569398614e-09,0
dominus illuminatio mea,2.1092335569398614e-09,0
omnes una manet nox,2.1092335569398614e-09,0
caritas christi,2.1092335569398614e-09,0
opus lateritium,2.1092335569398614e-09,1
defensor fortis,2.1092335569398614e-09,0
caetera desunt,2.1092335569398614e-09,1
virtus et scientia,2.1092335569398614e-09,0
lachryma christi,2.1092335569398614e-09,1
opera sectilia,2.1092335569398614e-09,1
dis manibus sacrum,2.1092335569398614e-09,0
romanes eunt domus,2.1092335569398614e-09,0
vi coactus,2.1092335569398614e-09,0
christianos ad leones,2.1092335569398614e-09,0
virtute et veritate,2.1092335569398614e-09,0
bona officia,2.1092335569398614e-09,0
